"Name","Description","Latitude","Longitude","Address","City","Zip","State","Country"
"German (de)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:de<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/de","50.7327045","7.0963113","","","","","DE"
"Greek (el)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:el<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/el","39.074208","21.824312","","","","","GR"
"Gujarathi (gu-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:gu-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/gu-IN","22.258652","71.1923805","","","","","IN"
"Hebrew (he)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:he<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/he","31.046051","34.851612","","","","","IL"
"Hindi (hi-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hi-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hi-IN","28.635308","77.22496","","","","","IN"
"Hungurain (hu)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hu<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hu","47.162494","19.503304","","","","","HU"
"Icelandic (is)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:is<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/is","64.963051","-19.020835","","","","","IS"
"Indonesia (id)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:id<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/id","-6.211544","106.845172","","","","",""
"Irish (ga-IE)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ga-IE<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ga-IE","45.583289756006316","6.591796875","","","","","IE"
"Italian (it)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:it<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/it","41.87194","12.56738","","","","","IT"
"Japanese (jp)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:jp<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/jp","36.204824","138.252924","","","","","JP"
"Kananda (kn)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kn<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/kn","12.9715987","77.5945627","","","","","IN"
"Kazakh (kk)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kk<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/kk","48.019573","66.923684","","","","","KZ"
"Khmer (kh)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kh<br><br>","12.565679","104.990963","","","","","KH"
"Korean (ko)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ko<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ko","35.907757","127.766922","","","","","KR"
"Kurdish (ku)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ku","35.9553579","47.1362125","","","","","IR"
"Laos (lo)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lo","19.85627","102.495496","","","","","LA"
"Latvian (lv)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lv<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/lv","56.879635","24.603189","","","","","LV"
"Lithuvanian (lt)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lt<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/lt","55.169438","23.881275","","","","","LT"
"Luganda (lg)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lg<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/lg","1.373333","32.290275","","","","","UG"
"Macedonian (mk)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:mk<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/mk","41.608635","21.745275","","","","","MK"
"Maithili (mai)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:mai<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/mai","29.8246216","79.0622105","","","","",""
"Malay (ms)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ms","4.210484","101.975766","","","","","MY"
"Malayalam (ml)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ml<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ml","10.5143884","76.6412712","","","","","IN"
"Marathi (mr)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:mr<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/mr","19.0759837","72.8776559","","","","","IN"
"Northen Sotho (nso)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:nso<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/nso","-29.609988","28.233608","","","","","LS"
"Norwegian (nb-NO)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:nb-NO<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/nb-NO","60.472024","8.468946","","","","","NO"
"Norwegian (nn-NO)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:nn-NO<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/nn-NO","62.70640286961363","10.37109375","","","","",""
"Occitan (Languedocian)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:oc<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/oc","44.2653391","1.4394076","","","","","FR"
"Oriya (or)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:or<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/or","20.9516658","85.0985236","","","","","IN"
"Persian (fa)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:fa<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/fa","32.427908","53.688046","","","","","IR"
"Polish (pl)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:pl<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/pl","51.919438","19.145136","","","","","PL"
"Portuguese (pt-PT)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:pt-PT<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/pt-PT","39.399872","-8.224454","","","","","PT"
"Portuguese Brazilian (pt-BR)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:pt-BR<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/pt-BR","-14.235004","-51.92528","","","","","BR"
"Punjabi (pa-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:pa-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/pa-IN","31.3260152","75.5761829","","","","","IN"
"Romanian (ro)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ro<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ro<br>","45.943161","24.96676","","","","","RO"
"Romansh (rm)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:rm<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/rm","46.818188","8.227512","","","","","CH"
"Russian (ru)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ru<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ru<br>","61.52401","105.318756","","","","","RU"
